2020-11-21 00:14:57:815 INFO  o.s.s.c.ThreadPoolTaskExecutor : Initializing ExecutorService 'applicationTaskExecutor'
2020-11-21 00:14:58:198 INFO  c.s.a.s.i.DockerContainerServiceImplTest : Started DockerContainerServiceImplTest in 3.417 seconds (JVM running for 4.403)
2020-11-21 00:15:14:729 INFO  c.s.a.s.i.DockerContainerServiceImpl : download complete
2020-11-21 00:15:21:407 INFO  o.s.s.c.ThreadPoolTaskExecutor : Shutting down ExecutorService 'applicationTaskExecutor'
2020-11-21 00:15:21:408 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown initiated...
2020-11-21 00:15:21:409 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown completed.
2020-11-21 00:17:56:660 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest], using SpringBootContextLoader
2020-11-21 00:17:56:664 INFO  o.s.t.c.s.AbstractContextLoader : Could not detect default resource locations for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-11-21 00:17:56:665 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils : Could not detect default configuration classes for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest]: DockerContainerServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-11-21 00:17:56:788 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Found @SpringBootConfiguration com.softwarelab.application.SoftwareLabApplication for test class com.softwarelab.application.service.impl.DockerContainerServiceImplTest
2020-11-21 00:17:56:879 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2020-11-21 00:17:56:892 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5609159b, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2118cddf, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@17a7f733, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@68567e20, org.springframework.test.context.support.DirtiesContextTestExecutionListener@76ed1b7c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@11fc564b, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@394a2528, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6236eb5f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7c1e2a9e, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@fa36558, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@672872e1, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@32910148]
2020-11-21 00:17:57:376 INFO  c.s.a.s.i.DockerContainerServiceImplTest : Starting DockerContainerServiceImplTest on blackstar with PID 14584 (started by blackstar in /Users/blackstar/github/softwarelab/application)
2020-11-21 00:17:57:376 INFO  c.s.a.s.i.DockerContainerServiceImplTest : No active profile set, falling back to default profiles: default
2020-11-21 00:17:58:498 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting...
2020-11-21 00:17:58:729 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed.
2020-11-21 00:17:58:980 WARN  c.b.m.core.metadata.TableInfoHelper : Can not find table primary key in Class: "com.softwarelab.application.entity.AppVersion".
2020-11-21 00:17:59:662 INFO  o.s.s.web.DefaultSecurityFilterChain : Creating filter chain: Ant [pattern='/static/**'], []
2020-11-21 00:17:59:875 INFO  o.s.b.a.w.s.WelcomePageHandlerMapping : Adding welcome page: class path resource [static/index.html]
