2020-11-20 17:41:58:183 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@23aa363a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5ef6ae06, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@55dfebeb, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6e35bc3d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1cdc4c27, org.springframework.test.context.transaction.TransactionalTestExecutionListener@77b14724, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5d9b7a8a, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1e8ce150, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@604f2bd2, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1d3ac898, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1b73be9f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@628c4ac0]
2020-11-20 17:41:58:754 INFO  c.s.a.s.i.DockerContainerServiceImplTest : Starting DockerContainerServiceImplTest on blackstar with PID 12462 (started by blackstar in /Users/blackstar/github/softwarelab/application)
2020-11-20 17:41:58:754 INFO  c.s.a.s.i.DockerContainerServiceImplTest : No active profile set, falling back to default profiles: default
2020-11-20 17:42:00:176 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting...
2020-11-20 17:42:03:781 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed.
2020-11-20 17:42:04:081 WARN  c.b.m.core.metadata.TableInfoHelper : Can not find table primary key in Class: "com.softwarelab.application.entity.AppVersion".
2020-11-20 17:42:04:883 INFO  o.s.s.web.DefaultSecurityFilterChain : Creating filter chain: Ant [pattern='/static/**'], []
2020-11-20 17:42:05:185 INFO  o.s.b.a.w.s.WelcomePageHandlerMapping : Adding welcome page: class path resource [static/index.html]
2020-11-20 17:42:05:238 INFO  o.s.s.web.DefaultSecurityFilterChain : Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@25f7cc38, org.springframework.security.web.context.SecurityContextPersistenceFilter@72a3462f, org.springframework.security.web.header.HeaderWriterFilter@5d37aa0f, org.springframework.web.filter.CorsFilter@563263a, org.springframework.security.web.authentication.logout.LogoutFilter@749d7c01, com.softwarelab.application.config.rest.RestLoginProcessingFilter@53e28097, com.softwarelab.application.config.jwt.JwtTokenAuthenticationProcessingFilter@6e794f53, com.softwarelab.application.config.jwt.JwtTokenAuthenticationProcessingFilter@75f4d8a8, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@632c3f55, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3d53e876, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@69ba72da, org.springframework.security.web.session.SessionManagementFilter@485c84d7, org.springframework.security.web.access.ExceptionTranslationFilter@318e3942, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1be77a76]
2020-11-20 17:42:05:641 INFO  o.s.s.c.ThreadPoolTaskExecutor : Initializing ExecutorService 'applicationTaskExecutor'
2020-11-20 17:42:06:242 INFO  c.s.a.s.i.DockerContainerServiceImplTest : Started DockerContainerServiceImplTest in 7.772 seconds (JVM running for 9.01)
2020-11-20 17:42:22:657 INFO  o.s.s.c.ThreadPoolTaskExecutor : Shutting down ExecutorService 'applicationTaskExecutor'
2020-11-20 17:42:22:659 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown initiated...
2020-11-20 17:42:22:661 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown completed.
2020-11-20 17:42:45:292 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest], using SpringBootContextLoader
2020-11-20 17:42:45:297 INFO  o.s.t.c.s.AbstractContextLoader : Could not detect default resource locations for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-11-20 17:42:45:298 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils : Could not detect default configuration classes for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest]: DockerContainerServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-11-20 17:42:45:445 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Found @SpringBootConfiguration com.softwarelab.application.SoftwareLabApplication for test class com.softwarelab.application.service.impl.DockerContainerServiceImplTest
2020-11-20 17:42:45:543 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2020-11-20 17:42:45:558 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6e35bc3d, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1cdc4c27, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@77b14724, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5d9b7a8a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1e8ce150, org.springframework.test.context.transaction.TransactionalTestExecutionListener@604f2bd2, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1d3ac898, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1b73be9f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@628c4ac0, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7b84fcf8, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@30b19518, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@363042d7]
2020-11-20 17:42:46:092 INFO  c.s.a.s.i.DockerContainerServiceImplTest : Starting DockerContainerServiceImplTest on blackstar with PID 12484 (started by blackstar in /Users/blackstar/github/softwarelab/application)
2020-11-20 17:42:46:093 INFO  c.s.a.s.i.DockerContainerServiceImplTest : No active profile set, falling back to default profiles: default
2020-11-20 17:42:47:365 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting...
2020-11-20 17:42:47:613 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed.
2020-11-20 17:42:47:877 WARN  c.b.m.core.metadata.TableInfoHelper : Can not find table primary key in Class: "com.softwarelab.application.entity.AppVersion".
2020-11-20 17:42:48:647 INFO  o.s.s.web.DefaultSecurityFilterChain : Creating filter chain: Ant [pattern='/static/**'], []
2020-11-20 17:42:48:951 INFO  o.s.b.a.w.s.WelcomePageHandlerMapping : Adding welcome page: class path resource [static/index.html]
2020-11-20 17:42:48:998 INFO  o.s.s.web.DefaultSecurityFilterChain : Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3fd5d679, org.springframework.security.web.context.SecurityContextPersistenceFilter@333a44f2, org.springframework.security.web.header.HeaderWriterFilter@6cc8adff, org.springframework.web.filter.CorsFilter@7aa15a80, org.springframework.security.web.authentication.logout.LogoutFilter@69d2fb0a, com.softwarelab.application.config.rest.RestLoginProcessingFilter@4d065e1a, com.softwarelab.application.config.jwt.JwtTokenAuthenticationProcessingFilter@7c4ca87c, com.softwarelab.application.config.jwt.JwtTokenAuthenticationProcessingFilter@6dbbdf92, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6efd0a6e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6996bbc4, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1dbeedff, org.springframework.security.web.session.SessionManagementFilter@280d5a82, org.springframework.security.web.access.ExceptionTranslationFilter@72001c71, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@66a472b9]
2020-11-20 17:42:49:414 INFO  o.s.s.c.ThreadPoolTaskExecutor : Initializing ExecutorService 'applicationTaskExecutor'
2020-11-20 17:42:50:005 INFO  c.s.a.s.i.DockerContainerServiceImplTest : Started DockerContainerServiceImplTest in 4.159 seconds (JVM running for 5.3)
2020-11-20 17:44:15:091 INFO  o.s.s.c.ThreadPoolTaskExecutor : Shutting down ExecutorService 'applicationTaskExecutor'
2020-11-20 17:44:15:093 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown initiated...
2020-11-20 17:44:15:095 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown completed.
2020-11-20 23:10:36:607 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest], using SpringBootContextLoader
2020-11-20 23:10:36:614 INFO  o.s.t.c.s.AbstractContextLoader : Could not detect default resource locations for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-11-20 23:10:36:614 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils : Could not detect default configuration classes for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest]: DockerContainerServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-11-20 23:10:36:777 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Found @SpringBootConfiguration com.softwarelab.application.SoftwareLabApplication for test class com.softwarelab.application.service.impl.DockerContainerServiceImplTest
2020-11-20 23:10:36:879 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2020-11-20 23:10:36:896 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3f56875e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2b4bac49, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@fd07cbb, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@3571b748, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3e96bacf, org.springframework.test.context.transaction.TransactionalTestExecutionListener@484970b0, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4470f8a6, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7c83dc97, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7748410a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@740773a3, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@37f1104d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@55740540]
2020-11-20 23:10:37:422 INFO  c.s.a.s.i.DockerContainerServiceImplTest : Starting DockerContainerServiceImplTest on blackstar with PID 13092 (started by blackstar in /Users/blackstar/github/softwarelab/application)
2020-11-20 23:10:37:423 INFO  c.s.a.s.i.DockerContainerServiceImplTest : No active profile set, falling back to default profiles: default
2020-11-20 23:10:38:691 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting...
2020-11-20 23:10:38:973 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed.
2020-11-20 23:10:39:242 WARN  c.b.m.core.metadata.TableInfoHelper : Can not find table primary key in Class: "com.softwarelab.application.entity.AppVersion".
2020-11-20 23:10:39:962 INFO  o.s.s.web.DefaultSecurityFilterChain : Creating filter chain: Ant [pattern='/static/**'], []
2020-11-20 23:10:40:198 INFO  o.s.b.a.w.s.WelcomePageHandlerMapping : Adding welcome page: class path resource [static/index.html]
